input,output
changeing TechGrowth to include 3% more mid-size stocks.,"if 'TechGrowth' in portfolio and 'MID_CAP_STOCKS' in portfolio['TechGrowth']:
    portfolio['TechGrowth']['MID_CAP_STOCKS'] = '3%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Could you allocate 18 proportion to debt instruments in VentureCapital?,"if 'VentureCapital' not in portfolio:
    portfolio['VentureCapital'] = {}
portfolio['VentureCapital']['BONDS'] = '18%'"
Could you designate 100 proportion to medium stocks in EmergingMarkets?,"if 'EmergingMarkets' not in portfolio:
    portfolio['EmergingMarkets'] = {}
portfolio['EmergingMarkets']['MID_CAP_STOCKS'] = '100%'"
Plan to place the mid-size stocks in TechGrowth by 51 percentage.,"if 'TechGrowth' not in portfolio:
    portfolio['TechGrowth'] = {}
portfolio['TechGrowth']['MID_CAP_STOCKS'] = '51%'"
Is it possible to alter myPortfolio's major stocks allocation by 92%?,"if 'myPortfolio' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['myPortfolio']:
    portfolio['myPortfolio']['LARGE_CAP_STOCKS'] = '92%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Let's assign 40 proportion more of small-cap stocks to GlobalEquityFund's portfolio.,"if 'GlobalEquityFund' not in portfolio:
    portfolio['GlobalEquityFund'] = {}
portfolio['GlobalEquityFund']['SMALL_CAP_STOCKS'] = '40%'"
seting BlueChipStocks to include 89 proportion more large-cap stocks.,"if 'BlueChipStocks' not in portfolio:
    portfolio['BlueChipStocks'] = {}
portfolio['BlueChipStocks']['LARGE_CAP_STOCKS'] = '89%'"
set 58% to bonds in CryptoAssets,"if 'CryptoAssets' not in portfolio:
    portfolio['CryptoAssets'] = {}
portfolio['CryptoAssets']['BONDS'] = '58%'"
Could you change 11 percentage to major stocks in PortfolioB?,"if 'PortfolioB' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['PortfolioB']:
    portfolio['PortfolioB']['LARGE_CAP_STOCKS'] = '11%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
"We're moving to designate 99 percentage more to major stocks in BlueChipStocks, correct?","if 'BlueChipStocks' not in portfolio:
    portfolio['BlueChipStocks'] = {}
portfolio['BlueChipStocks']['LARGE_CAP_STOCKS'] = '99%'"
Plan to set the debt instruments in ValueInvest by 72 proportion.,"if 'ValueInvest' not in portfolio:
    portfolio['ValueInvest'] = {}
portfolio['ValueInvest']['BONDS'] = '72%'"
Thinking of seting 2 proportion bonds into RealEstateHoldings,"if 'RealEstateHoldings' not in portfolio:
    portfolio['RealEstateHoldings'] = {}
portfolio['RealEstateHoldings']['BONDS'] = '2%'"
Is it possible to allocate PortfolioA's mid-size stocks allocation by 41%?,"if 'PortfolioA' not in portfolio:
    portfolio['PortfolioA'] = {}
portfolio['PortfolioA']['MID_CAP_STOCKS'] = '41%'"
Thinking of allocateing 1 percentage small-cap stocks into HighYieldBonds,"if 'HighYieldBonds' not in portfolio:
    portfolio['HighYieldBonds'] = {}
portfolio['HighYieldBonds']['SMALL_CAP_STOCKS'] = '1%'"
"We're moving to amend 93 proportion more to mid-size stocks in BlueChipStocks, correct?","if 'BlueChipStocks' in portfolio and 'MID_CAP_STOCKS' in portfolio['BlueChipStocks']:
    portfolio['BlueChipStocks']['MID_CAP_STOCKS'] = '93%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
adjusting AlphaFund to include 36 percent more minor stocks.,"if 'AlphaFund' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['AlphaFund']:
    portfolio['AlphaFund']['SMALL_CAP_STOCKS'] = '36%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
I'm considering allocateing AlphaFund with an additional 28 percentage of big-cap stocks.,"if 'AlphaFund' not in portfolio:
    portfolio['AlphaFund'] = {}
portfolio['AlphaFund']['LARGE_CAP_STOCKS'] = '28%'"
I'm considering allocateing HighYieldBonds with an additional 32% of small-cap stocks.,"if 'HighYieldBonds' not in portfolio:
    portfolio['HighYieldBonds'] = {}
portfolio['HighYieldBonds']['SMALL_CAP_STOCKS'] = '32%'"
"We're moving to position 82 percentage more to minor stocks in ValueInvest, correct?","if 'ValueInvest' not in portfolio:
    portfolio['ValueInvest'] = {}
portfolio['ValueInvest']['SMALL_CAP_STOCKS'] = '82%'"
How about we designate 15 percent of bonds in myPortfolio?,"if 'myPortfolio' not in portfolio:
    portfolio['myPortfolio'] = {}
portfolio['myPortfolio']['BONDS'] = '15%'"
"position EmergingMarkets by adding 15 proportion mid-cap stocks, please.","if 'EmergingMarkets' not in portfolio:
    portfolio['EmergingMarkets'] = {}
portfolio['EmergingMarkets']['MID_CAP_STOCKS'] = '15%'"
Is it possible to assign ValueInvest's fixed-income securities allocation by 27 percent?,"if 'ValueInvest' not in portfolio:
    portfolio['ValueInvest'] = {}
portfolio['ValueInvest']['BONDS'] = '27%'"
Is it possible to position myPortfolio's mid-cap stocks allocation by 79 proportion?,"if 'myPortfolio' not in portfolio:
    portfolio['myPortfolio'] = {}
portfolio['myPortfolio']['MID_CAP_STOCKS'] = '79%'"
"place TechGrowth by adding 61 percent major stocks, please.","if 'TechGrowth' not in portfolio:
    portfolio['TechGrowth'] = {}
portfolio['TechGrowth']['LARGE_CAP_STOCKS'] = '61%'"
"We're moving to allocate 89% more to small-cap stocks in BlueChipStocks, correct?","if 'BlueChipStocks' not in portfolio:
    portfolio['BlueChipStocks'] = {}
portfolio['BlueChipStocks']['SMALL_CAP_STOCKS'] = '89%'"
How about we change 83% of major stocks in myPortfolio?,"if 'myPortfolio' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['myPortfolio']:
    portfolio['myPortfolio']['LARGE_CAP_STOCKS'] = '83%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Let's modify 57% more of minor stocks to PortfolioA's portfolio.,"if 'PortfolioA' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['PortfolioA']:
    portfolio['PortfolioA']['SMALL_CAP_STOCKS'] = '57%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
"We're moving to modify 7% more to major stocks in GreenEnergyInvest, correct?","if 'GreenEnergyInvest' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['GreenEnergyInvest']:
    portfolio['GreenEnergyInvest']['LARGE_CAP_STOCKS'] = '7%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Let's set 58 percentage more of major stocks to TechGrowth's portfolio.,"if 'TechGrowth' not in portfolio:
    portfolio['TechGrowth'] = {}
portfolio['TechGrowth']['LARGE_CAP_STOCKS'] = '58%'"
Could you designate 52 percent to large-cap stocks in BetaPortfolio?,"if 'BetaPortfolio' not in portfolio:
    portfolio['BetaPortfolio'] = {}
portfolio['BetaPortfolio']['LARGE_CAP_STOCKS'] = '52%'"
Could you alter 82 percentage to major stocks in TechGrowth?,"if 'TechGrowth' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['TechGrowth']:
    portfolio['TechGrowth']['LARGE_CAP_STOCKS'] = '82%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Please allocate big-cap stocks by 75% in HighYieldBonds.,"if 'HighYieldBonds' not in portfolio:
    portfolio['HighYieldBonds'] = {}
portfolio['HighYieldBonds']['LARGE_CAP_STOCKS'] = '75%'"
Please set fixed-income securities by 69% in AlphaFund.,"if 'AlphaFund' not in portfolio:
    portfolio['AlphaFund'] = {}
portfolio['AlphaFund']['BONDS'] = '69%'"
Thinking of changeing 38 percent medium stocks into GlobalEquityFund,"if 'GlobalEquityFund' in portfolio and 'MID_CAP_STOCKS' in portfolio['GlobalEquityFund']:
    portfolio['GlobalEquityFund']['MID_CAP_STOCKS'] = '38%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
"designate EmergingMarkets by adding 59 percent large-cap stocks, please.","if 'EmergingMarkets' not in portfolio:
    portfolio['EmergingMarkets'] = {}
portfolio['EmergingMarkets']['LARGE_CAP_STOCKS'] = '59%'"
Plan to alter the fixed-income securities in BlueChipStocks by 83%.,"if 'BlueChipStocks' in portfolio and 'BONDS' in portfolio['BlueChipStocks']:
    portfolio['BlueChipStocks']['BONDS'] = '83%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
"place AlphaFund by adding 39% small-cap stocks, please.","if 'AlphaFund' not in portfolio:
    portfolio['AlphaFund'] = {}
portfolio['AlphaFund']['SMALL_CAP_STOCKS'] = '39%'"
How about we place 70 percentage of minor stocks in PortfolioB?,"if 'PortfolioB' not in portfolio:
    portfolio['PortfolioB'] = {}
portfolio['PortfolioB']['SMALL_CAP_STOCKS'] = '70%'"
Please allocate debt instruments by 8 percentage in EmergingMarkets.,"if 'EmergingMarkets' not in portfolio:
    portfolio['EmergingMarkets'] = {}
portfolio['EmergingMarkets']['BONDS'] = '8%'"
"change EmergingMarkets by adding 16 proportion mid-cap stocks, please.","if 'EmergingMarkets' in portfolio and 'MID_CAP_STOCKS' in portfolio['EmergingMarkets']:
    portfolio['EmergingMarkets']['MID_CAP_STOCKS'] = '16%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Let's assign 5% more of large-cap stocks to HighYieldBonds's portfolio.,"if 'HighYieldBonds' not in portfolio:
    portfolio['HighYieldBonds'] = {}
portfolio['HighYieldBonds']['LARGE_CAP_STOCKS'] = '5%'"
Thinking of updateing 5 percentage large-cap stocks into DividendGrowers,"if 'DividendGrowers' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['DividendGrowers']:
    portfolio['DividendGrowers']['LARGE_CAP_STOCKS'] = '5%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Plan to designate the small-size stocks in CryptoAssets by 19 proportion.,"if 'CryptoAssets' not in portfolio:
    portfolio['CryptoAssets'] = {}
portfolio['CryptoAssets']['SMALL_CAP_STOCKS'] = '19%'"
I'm considering reviseing GlobalEquityFund with an additional 21% of mid-size stocks.,"if 'GlobalEquityFund' in portfolio and 'MID_CAP_STOCKS' in portfolio['GlobalEquityFund']:
    portfolio['GlobalEquityFund']['MID_CAP_STOCKS'] = '21%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Could you revise 59% to fixed-income securities in IncomeFund2024?,"if 'IncomeFund2024' in portfolio and 'BONDS' in portfolio['IncomeFund2024']:
    portfolio['IncomeFund2024']['BONDS'] = '59%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Let's alter 71 percentage more of big-cap stocks to PortfolioB's portfolio.,"if 'PortfolioB' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['PortfolioB']:
    portfolio['PortfolioB']['LARGE_CAP_STOCKS'] = '71%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Could you adjust 86 proportion to mid-cap stocks in VentureCapital?,"if 'VentureCapital' in portfolio and 'MID_CAP_STOCKS' in portfolio['VentureCapital']:
    portfolio['VentureCapital']['MID_CAP_STOCKS'] = '86%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Is it possible to change TechGrowth's debt instruments allocation by 76 percent?,"if 'TechGrowth' in portfolio and 'BONDS' in portfolio['TechGrowth']:
    portfolio['TechGrowth']['BONDS'] = '76%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Plan to designate the minor stocks in DividendGrowers by 18 percent.,"if 'DividendGrowers' not in portfolio:
    portfolio['DividendGrowers'] = {}
portfolio['DividendGrowers']['SMALL_CAP_STOCKS'] = '18%'"
Thinking of reviseing 58% mid-size stocks into TechGrowth,"if 'TechGrowth' in portfolio and 'MID_CAP_STOCKS' in portfolio['TechGrowth']:
    portfolio['TechGrowth']['MID_CAP_STOCKS'] = '58%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
position 75% to medium stocks in RealEstateHoldings,"if 'RealEstateHoldings' not in portfolio:
    portfolio['RealEstateHoldings'] = {}
portfolio['RealEstateHoldings']['MID_CAP_STOCKS'] = '75%'"
How about we designate 60 percentage of small-cap stocks in DividendGrowers?,"if 'DividendGrowers' not in portfolio:
    portfolio['DividendGrowers'] = {}
portfolio['DividendGrowers']['SMALL_CAP_STOCKS'] = '60%'"
"change HighYieldBonds by adding 95 proportion fixed-income securities, please.","if 'HighYieldBonds' in portfolio and 'BONDS' in portfolio['HighYieldBonds']:
    portfolio['HighYieldBonds']['BONDS'] = '95%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
How about we place 66 percentage of mid-size stocks in HighYieldBonds?,"if 'HighYieldBonds' not in portfolio:
    portfolio['HighYieldBonds'] = {}
portfolio['HighYieldBonds']['MID_CAP_STOCKS'] = '66%'"
change 51 percent to small-size stocks in PortfolioA,"if 'PortfolioA' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['PortfolioA']:
    portfolio['PortfolioA']['SMALL_CAP_STOCKS'] = '51%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Thinking of modifying 36 percentage mid-cap stocks into CryptoAssets,"if 'CryptoAssets' in portfolio and 'MID_CAP_STOCKS' in portfolio['CryptoAssets']:
    portfolio['CryptoAssets']['MID_CAP_STOCKS'] = '36%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
amending HighYieldBonds to include 49 proportion more minor stocks.,"if 'HighYieldBonds' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['HighYieldBonds']:
    portfolio['HighYieldBonds']['SMALL_CAP_STOCKS'] = '49%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
How about we position 58 percent of small-size stocks in BetaPortfolio?,"if 'BetaPortfolio' not in portfolio:
    portfolio['BetaPortfolio'] = {}
portfolio['BetaPortfolio']['SMALL_CAP_STOCKS'] = '58%'"
Let's position 41 proportion more of major stocks to CryptoAssets's portfolio.,"if 'CryptoAssets' not in portfolio:
    portfolio['CryptoAssets'] = {}
portfolio['CryptoAssets']['LARGE_CAP_STOCKS'] = '41%'"
Let's place 51 percent more of small-cap stocks to myPortfolio's portfolio.,"if 'myPortfolio' not in portfolio:
    portfolio['myPortfolio'] = {}
portfolio['myPortfolio']['SMALL_CAP_STOCKS'] = '51%'"
designateing PortfolioA to include 26 percent more mid-size stocks.,"if 'PortfolioA' not in portfolio:
    portfolio['PortfolioA'] = {}
portfolio['PortfolioA']['MID_CAP_STOCKS'] = '26%'"
Thinking of designateing 85 percent small-cap stocks into PortfolioA,"if 'PortfolioA' not in portfolio:
    portfolio['PortfolioA'] = {}
portfolio['PortfolioA']['SMALL_CAP_STOCKS'] = '85%'"
"amend VentureCapital by adding 47 percent fixed-income securities, please.","if 'VentureCapital' in portfolio and 'BONDS' in portfolio['VentureCapital']:
    portfolio['VentureCapital']['BONDS'] = '47%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
"We're moving to set 100% more to mid-size stocks in PortfolioB, correct?","if 'PortfolioB' not in portfolio:
    portfolio['PortfolioB'] = {}
portfolio['PortfolioB']['MID_CAP_STOCKS'] = '100%'"
allocate 81 percent to small-cap stocks in AlphaFund,"if 'AlphaFund' not in portfolio:
    portfolio['AlphaFund'] = {}
portfolio['AlphaFund']['SMALL_CAP_STOCKS'] = '81%'"
changeing CryptoAssets to include 21% more small-size stocks.,"if 'CryptoAssets' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['CryptoAssets']:
    portfolio['CryptoAssets']['SMALL_CAP_STOCKS'] = '21%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Please allocate large-cap stocks by 62% in BetaPortfolio.,"if 'BetaPortfolio' not in portfolio:
    portfolio['BetaPortfolio'] = {}
portfolio['BetaPortfolio']['LARGE_CAP_STOCKS'] = '62%'"
I'm considering adjusting myPortfolio with an additional 34 percentage of fixed-income securities.,"if 'myPortfolio' in portfolio and 'BONDS' in portfolio['myPortfolio']:
    portfolio['myPortfolio']['BONDS'] = '34%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Is it possible to adjust PortfolioA's big-cap stocks allocation by 71%?,"if 'PortfolioA' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['PortfolioA']:
    portfolio['PortfolioA']['LARGE_CAP_STOCKS'] = '71%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Could you assign 20 percentage to major stocks in RealEstateHoldings?,"if 'RealEstateHoldings' not in portfolio:
    portfolio['RealEstateHoldings'] = {}
portfolio['RealEstateHoldings']['LARGE_CAP_STOCKS'] = '20%'"
"position myPortfolio by adding 91 percentage small-size stocks, please.","if 'myPortfolio' not in portfolio:
    portfolio['myPortfolio'] = {}
portfolio['myPortfolio']['SMALL_CAP_STOCKS'] = '91%'"
seting BlueChipStocks to include 91% more mid-size stocks.,"if 'BlueChipStocks' not in portfolio:
    portfolio['BlueChipStocks'] = {}
portfolio['BlueChipStocks']['MID_CAP_STOCKS'] = '91%'"
Plan to allocate the large-cap stocks in TechGrowth by 25 proportion.,"if 'TechGrowth' not in portfolio:
    portfolio['TechGrowth'] = {}
portfolio['TechGrowth']['LARGE_CAP_STOCKS'] = '25%'"
update 56 proportion to small-cap stocks in VentureCapital,"if 'VentureCapital' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['VentureCapital']:
    portfolio['VentureCapital']['SMALL_CAP_STOCKS'] = '56%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
I'm considering changeing HighYieldBonds with an additional 64% of mid-size stocks.,"if 'HighYieldBonds' in portfolio and 'MID_CAP_STOCKS' in portfolio['HighYieldBonds']:
    portfolio['HighYieldBonds']['MID_CAP_STOCKS'] = '64%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Please amend small-size stocks by 97 percent in GreenEnergyInvest.,"if 'GreenEnergyInvest' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['GreenEnergyInvest']:
    portfolio['GreenEnergyInvest']['SMALL_CAP_STOCKS'] = '97%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
changeing HighYieldBonds to include 61 percent more small-cap stocks.,"if 'HighYieldBonds' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['HighYieldBonds']:
    portfolio['HighYieldBonds']['SMALL_CAP_STOCKS'] = '61%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
amend 69 percentage to debt instruments in VentureCapital,"if 'VentureCapital' in portfolio and 'BONDS' in portfolio['VentureCapital']:
    portfolio['VentureCapital']['BONDS'] = '69%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Is it possible to alter PreciousMetalsFund's large-cap stocks allocation by 61 percent?,"if 'PreciousMetalsFund' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['PreciousMetalsFund']:
    portfolio['PreciousMetalsFund']['LARGE_CAP_STOCKS'] = '61%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
"We're moving to modify 32% more to big-cap stocks in HighYieldBonds, correct?","if 'HighYieldBonds' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['HighYieldBonds']:
    portfolio['HighYieldBonds']['LARGE_CAP_STOCKS'] = '32%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Plan to revise the big-cap stocks in GlobalEquityFund by 98%.,"if 'GlobalEquityFund' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['GlobalEquityFund']:
    portfolio['GlobalEquityFund']['LARGE_CAP_STOCKS'] = '98%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
"amend RealEstateHoldings by adding 77 proportion minor stocks, please.","if 'RealEstateHoldings' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['RealEstateHoldings']:
    portfolio['RealEstateHoldings']['SMALL_CAP_STOCKS'] = '77%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
position 26% to bonds in PortfolioA,"if 'PortfolioA' not in portfolio:
    portfolio['PortfolioA'] = {}
portfolio['PortfolioA']['BONDS'] = '26%'"
Let's allocate 41 percent more of mid-cap stocks to AlphaFund's portfolio.,"if 'AlphaFund' not in portfolio:
    portfolio['AlphaFund'] = {}
portfolio['AlphaFund']['MID_CAP_STOCKS'] = '41%'"
altering BetaPortfolio to include 33% more medium stocks.,"if 'BetaPortfolio' in portfolio and 'MID_CAP_STOCKS' in portfolio['BetaPortfolio']:
    portfolio['BetaPortfolio']['MID_CAP_STOCKS'] = '33%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
updateing HighYieldBonds to include 29 proportion more mid-cap stocks.,"if 'HighYieldBonds' in portfolio and 'MID_CAP_STOCKS' in portfolio['HighYieldBonds']:
    portfolio['HighYieldBonds']['MID_CAP_STOCKS'] = '29%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
"We're moving to alter 85 percent more to fixed-income securities in IncomeFund2024, correct?","if 'IncomeFund2024' in portfolio and 'BONDS' in portfolio['IncomeFund2024']:
    portfolio['IncomeFund2024']['BONDS'] = '85%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Could you set 29% to medium stocks in TechGrowth?,"if 'TechGrowth' not in portfolio:
    portfolio['TechGrowth'] = {}
portfolio['TechGrowth']['MID_CAP_STOCKS'] = '29%'"
"adjust DividendGrowers by adding 87% small-size stocks, please.","if 'DividendGrowers' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['DividendGrowers']:
    portfolio['DividendGrowers']['SMALL_CAP_STOCKS'] = '87%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Let's revise 90% more of bonds to ValueInvest's portfolio.,"if 'ValueInvest' in portfolio and 'BONDS' in portfolio['ValueInvest']:
    portfolio['ValueInvest']['BONDS'] = '90%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Is it possible to set BlueChipStocks's minor stocks allocation by 81 percentage?,"if 'BlueChipStocks' not in portfolio:
    portfolio['BlueChipStocks'] = {}
portfolio['BlueChipStocks']['SMALL_CAP_STOCKS'] = '81%'"
"We're moving to assign 46 percent more to medium stocks in ValueInvest, correct?","if 'ValueInvest' not in portfolio:
    portfolio['ValueInvest'] = {}
portfolio['ValueInvest']['MID_CAP_STOCKS'] = '46%'"
modifying HighYieldBonds to include 77 proportion more mid-size stocks.,"if 'HighYieldBonds' in portfolio and 'MID_CAP_STOCKS' in portfolio['HighYieldBonds']:
    portfolio['HighYieldBonds']['MID_CAP_STOCKS'] = '77%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Please place small-cap stocks by 26 percent in PortfolioB.,"if 'PortfolioB' not in portfolio:
    portfolio['PortfolioB'] = {}
portfolio['PortfolioB']['SMALL_CAP_STOCKS'] = '26%'"
Plan to adjust the fixed-income securities in GreenEnergyInvest by 27 percentage.,"if 'GreenEnergyInvest' in portfolio and 'BONDS' in portfolio['GreenEnergyInvest']:
    portfolio['GreenEnergyInvest']['BONDS'] = '27%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
